OPEN_ID,TICKER,STRIKE,EXPIRY,ACCOUNT,BUY_DATE,BUY_AMOUNT,SELL_DATE,SELL_PRICE,SELL_QTY,SELL_AMOUNT
2LQGz9628D4dd5jcYpxb,INTC,85.0,2028-01-21,IRA,2026-06-01,5384.67,2026-06-12,68.19,-1.0,6818.18
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,68.23,-1.0,6822.18
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,68.26,-1.0,6825.18
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,68.21,-1.0,6820.18
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,68.12,-1.0,6811.18
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,67.76,-1.0,6775.19
6v2CwwTNvRdo9sdeVPnJ,ANET,115.0,2028-01-21,IRA,2026-05-07,5675.02,2026-06-11,67.9,-1.0,6789.19
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,68.23,-1.0,6822.18
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,68.26,-1.0,6825.18
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,68.21,-1.0,6820.18
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,68.12,-1.0,6811.18
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,67.76,-1.0,6775.19
nmYMSR2qNFZRMFRjDvFI,ANET,115.0,2028-01-21,IRA,2026-05-07,5442.02,2026-06-11,67.9,-1.0,6789.19
